year,elections,teryt_code,powiat,gmina,political_party,n_votes,percentage
2007,sejm,020305,głogowski,"Pęcław, gm.",Komitet Wyborczy Polska Partia Pracy,2,0.26
2007,sejm,020305,głogowski,"Pęcław, gm.",Komitet Wyborczy Liga Polskich Rodzin,8,1.03
2007,sejm,020305,głogowski,"Pęcław, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,276,35.52
2007,sejm,020305,głogowski,"Pęcław, gm.",Komitet Wyborczy Platforma Obywatelska RP,285,36.68
2007,sejm,020305,głogowski,"Pęcław, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,94,12.10
2007,sejm,020305,głogowski,"Pęcław, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,28,3.60
2007,sejm,020305,głogowski,"Pęcław, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,84,10.81
2007,sejm,020306,głogowski,"Żukowice, gm.",Komitet Wyborczy Polska Partia Pracy,11,1.03
2007,sejm,020306,głogowski,"Żukowice, gm.",Komitet Wyborczy Liga Polskich Rodzin,12,1.12
2007,sejm,020306,głogowski,"Żukowice, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,328,30.71
2007,sejm,020306,głogowski,"Żukowice, gm.",Komitet Wyborczy Platforma Obywatelska RP,321,30.06
2007,sejm,020306,głogowski,"Żukowice, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,164,15.36
2007,sejm,020306,głogowski,"Żukowice, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,84,7.87
2007,sejm,020306,głogowski,"Żukowice, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,148,13.86
2007,sejm,020401,górowski,"Góra, gm.",Komitet Wyborczy Polska Partia Pracy,72,1.02
2007,sejm,020401,górowski,"Góra, gm.",Komitet Wyborczy Liga Polskich Rodzin,83,1.17
2007,sejm,020401,górowski,"Góra, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,1835,25.94
2007,sejm,020401,górowski,"Góra, gm.",Komitet Wyborczy Platforma Obywatelska RP,3115,44.03
2007,sejm,020401,górowski,"Góra, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,941,13.30
2007,sejm,020401,górowski,"Góra, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,213,3.01
2007,sejm,020401,górowski,"Góra, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,815,11.52
2007,sejm,020402,górowski,"Jemielno, gm.",Komitet Wyborczy Polska Partia Pracy,15,1.62
2007,sejm,020402,górowski,"Jemielno, gm.",Komitet Wyborczy Liga Polskich Rodzin,36,3.89
2007,sejm,020402,górowski,"Jemielno, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,252,27.24
2007,sejm,020402,górowski,"Jemielno, gm.",Komitet Wyborczy Platforma Obywatelska RP,243,26.27
2007,sejm,020402,górowski,"Jemielno, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,217,23.46
2007,sejm,020402,górowski,"Jemielno, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,54,5.84
2007,sejm,020402,górowski,"Jemielno, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,108,11.68
2007,sejm,020403,górowski,"Niechlów, gm.",Komitet Wyborczy Polska Partia Pracy,21,1.43
2007,sejm,020403,górowski,"Niechlów, gm.",Komitet Wyborczy Liga Polskich Rodzin,24,1.63
2007,sejm,020403,górowski,"Niechlów, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,391,26.54
2007,sejm,020403,górowski,"Niechlów, gm.",Komitet Wyborczy Platforma Obywatelska RP,369,25.05
2007,sejm,020403,górowski,"Niechlów, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,462,31.36
2007,sejm,020403,górowski,"Niechlów, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,65,4.41
2007,sejm,020403,górowski,"Niechlów, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,141,9.57
2007,sejm,020404,górowski,"Wąsosz, gm.",Komitet Wyborczy Polska Partia Pracy,46,2.10
